,Nombre,Foto,Valor,Posicion,Edad,Club,Escudo,Nacionalidad,Bandera,Partidos_jugados,Goles,Asistencias,Min_gol,Min_jugados,Goles_encajados,Partidos_cero
28,Alphonso Davies,https://img.a.transfermarkt.technology/portrait/small/424204-1570372661.jpg?lm=1,70,Lateral izquierdo,21,Bayern Múnich,https://tmssl.akamaized.net/images/wappen/verysmall/27.png?lm=1498251238,"['Canadá', 'Liberia']","['https://tmssl.akamaized.net/images/flagge/verysmall/80.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/95.png?lm=1520611569']",23,,6,,1.799,,
29,Lautaro Martínez,https://img.a.transfermarkt.technology/portrait/small/406625-1535015019.jpg?lm=1,70,Delantero centro,24,Inter de Milán,https://tmssl.akamaized.net/images/wappen/verysmall/46.png?lm=1618900989,['Argentina'],['https://tmssl.akamaized.net/images/flagge/verysmall/9.png?lm=1520611569'],39,16,2,160,2.553,,
30,Achraf Hakimi,https://img.a.transfermarkt.technology/portrait/small/398073-1633679363.jpg?lm=1,70,Lateral derecho,23,París Saint-Germain FC,https://tmssl.akamaized.net/images/wappen/verysmall/583.png?lm=1522312728,"['Marruecos', 'España']","['https://tmssl.akamaized.net/images/flagge/verysmall/107.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569']",32,3,4,866,2.597,,
31,Rodri,https://img.a.transfermarkt.technology/portrait/small/357565-1556022958.jpg?lm=1,70,Pivote,25,Manchester City,https://tmssl.akamaized.net/images/wappen/verysmall/281.png?lm=1467356331,['España'],['https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569'],33,3,1,925,2.775,,
32,Mikel Oyarzabal,https://img.a.transfermarkt.technology/portrait/small/351478-1599987229.jpg?lm=1,70,Extremo izquierdo,24,Real Sociedad,https://tmssl.akamaized.net/images/wappen/verysmall/681.png?lm=1614795530,['España'],['https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569'],33,15,4,170,2.554,,
33,Federico Chiesa,https://img.a.transfermarkt.technology/portrait/small/341092-1596098386.jpg?lm=1,70,Extremo derecho,24,Juventus de Turín,https://tmssl.akamaized.net/images/wappen/verysmall/506.png?lm=1626441487,['Italia'],['https://tmssl.akamaized.net/images/flagge/verysmall/75.png?lm=1520611569'],18,4,4,301,1.204,,
34,Frenkie de Jong,https://img.a.transfermarkt.technology/portrait/small/326330-1599987876.jpg?lm=1,70,Mediocentro,24,FC Barcelona,https://tmssl.akamaized.net/images/wappen/verysmall/131.png?lm=1406739548,['Países Bajos'],['https://tmssl.akamaized.net/images/flagge/verysmall/122.png?lm=1520611569'],36,4,4,684,2.737,,
35,Matthijs de Ligt,https://img.a.transfermarkt.technology/portrait/small/326031-1641810286.jpg?lm=1,70,Defensa central,22,Juventus de Turín,https://tmssl.akamaized.net/images/wappen/verysmall/506.png?lm=1626441487,['Países Bajos'],['https://tmssl.akamaized.net/images/flagge/verysmall/122.png?lm=1520611569'],34,2,,1.495,2.990,,
36,Kai Havertz,https://img.a.transfermarkt.technology/portrait/small/309400-1620646226.jpg?lm=1,70,Mediocentro ofensivo,22,Chelsea FC,https://tmssl.akamaized.net/images/wappen/verysmall/631.png?lm=1628160548,['Alemania'],['https://tmssl.akamaized.net/images/flagge/verysmall/40.png?lm=1520612525'],35,11,5,223,2.453,,
37,Sergej Milinkovic-Savic,https://img.a.transfermarkt.technology/portrait/small/266302-1594714732.jpg?lm=1,70,Mediocentro,27,SS Lazio,https://tmssl.akamaized.net/images/wappen/verysmall/398.png?lm=1601537785,"['Serbia', 'España']","['https://tmssl.akamaized.net/images/flagge/verysmall/215.png?lm=1520611569', 'https://tmssl.akamaized.net/images/flagge/verysmall/157.png?lm=1520611569']",39,8,10,383,3.062,,
